DTC,Description
U0426,IMPLAUSIBLE DATA RECEIVED FROM VEHICLE SECURITY CONTROL MODULE
U0427,IMPLAUSIBLE DATA RECEIVED FROM VEHICLE SECURITY CONTROL MODULE (SKREEM/WCM)
U0428,IMPLAUSIBLE DATA RECEIVED FROM STEERING ANGLE SENSOR MODULE
U0429,IMPLAUSIBLE DATA RECEIVED FROM SCM
U0447,IMPLAUSIBLE DATA RECEIVED FROM CENTRAL GATEWAY
U0452,IMPLAUSIBLE DATA RECEIVED FROM RESTRAINTS CONTROL MODULE
U045A,IMPLAUSIBLE DATA RECEIVED FROM PARKING ASSIST MODULE
U047F,IMPLAUSIBLE DATA RECEIVED FROM SEATBELT SENSOR 1
U0485,IMPLAUSIBLE DATA RECEIVED FROM RADIO
U0594,IMPLAUSIBLE DATA RECEIVED FROM HCP
U064C,Lost Communication with Hybrid -EV Battery Pack Current Sensor C
U1008,LIN 1 BUS
U1009,LIN 2 BUS
U1015,INTERNAL CAN COMMUNICATION BUSS OFF
U1045,LIN 3 BUS
U110A,LOST COMMUNICATION WITH SCM CAN-C
U110C,LOST FUEL LEVEL MESSAGE
U110E,LOST AMBIENT TEMPERATURE MESSAGE
U1110,LOST VEHICLE SPEED MESSAGE
U1120,LOST WHEEL DISTANCE MESSAGE
U112D,LOST COMMUNICATION WITH EVIC STEERING WHEEL SWITCHES
U113E,LOST COMMUNICATION WITH INTELLIGENT BATTERY SENSOR
U1141,LOST ESP TORQUE REQUEST MESSAGE
U1143,LOST COMMUNICATION WITH POWER SLIDING DOOR MODULE
U1144,LOST COMMUNICATION WITH POWER SLIDING DOOR MODULE
U114D,LOST COMMUNICATION WITH HANDS FREE LIFTGATE MODULE
U114F,LOST COMMUNICATION WITH LIN OVERHEAD CONSOLE
U115A,LOST COMMUNICATION WITH LEFT HANDS FREE SLIDING DOOR MODULE
U115B,LOST COMMUNICATION WITH RIGHT HANDS FREE SLIDING DOOR MODULE
U115E,LOST FUEL FILL DOOR SWITCH MESSAGE
U1190,LOST COMMUNICATION WITH HUMIDITY SENSOR
U1199,LOST HOOD AJAR SWITCH VOLTAGE MESSAGE
U11B8,LOST COMMUNICATION WITH INTEGRATED CENTER STACK (ICS)
U11B9,LOST COMMUNICATION WITH RF HUB
U11BB,LOST COMMUNICATION WITH VIDEO ROUTING MODULE
U11BC,LOST BRAKE SWITCH MESSAGE
U11C3,ESM LOST COMMUNICATION WITH TCM ON D-PT CAN
U11C5,BPCM LOST COMMUNICATION WITH ON BOARD CHARGING MODULE
U11DE,LOST SPEED CONTROL MESSAGE
U11E8,LOST COMMUNICATION WITH EPS STEERING TORQUE MESSAGE
U11E9,LOST COMMUNICATION WITH AGS
U11F9,ENGINE DID NOT RESPOND TO ACC TORQUE REQUEST
U120D,LOST ROLLS MODE SIGNAL
U120E,LOST COMMUNICATION WITH COMFORT SEAT AND WHEEL MODULE
U1215,LOST COMMUNICATION WITH FORWARD FACING CAMERA
U1216,LOST COMMUNICATION WITH DASM
U121E,LOST COMMUNICATION WITH STEERING WHEEL CRUISE CONTROL SWITCH
U1226,LOST COMMUNICATION WITH ELECTRONIC BRAKE BOOSTER MODULE
U1403,IMPLAUSIBLE FUEL LEVEL SIGNAL RECEIVED
U1409,IMPLAUSIBLE LEFT FRONT WHEEL SPEED SIGNAL RECEIVED
U140A,IMPLAUSIBLE RIGHT FRONT WHEEL SPEED SIGNAL RECEIVED
U140B,IMPLAUSIBLE LEFT REAR WHEEL SPEED SIGNAL RECEIVED
U140C,IMPLAUSIBLE RIGHT REAR WHEEL SPEED SIGNAL RECEIVED
U140E,IMPLAUSIBLE VEHICLE CONFIGURATION DATA RECEIVED
U1412,IMPLAUSIBLE VEHICLE SPEED SIGNAL RECEIVED
U1415,IMPLAUSIBLE/MISSING VEHICLE CONFIGURATION DATA
U1417,IMPLAUSIBLE LEFT WHEEL DISTANCE SIGNAL RECEIVED
U1418,IMPLAUSIBLE RIGHT WHEEL DISTANCE SIGNAL RECEIVED
U141E,IMPLAUSIBLE DATA RECEIVED FROM CRUISE CONTROL SWITCH
U142F,IMPLAUSIBLE DATA RECEIVED FROM MASTER CYLINDER PRESSURE SENSOR
U1431,IMPLAUSIBLE DATA RECEIVED FROM CRUISE CONTROL MODULE
U1433,IMPLAUSIBLE IGNITION SWITCH STATUS MESSAGE RECEIVED
U1444,IMPLAUSIBLE DATA RECEIVED FROM ELECTRONIC BRAKE BOOSTER MODULE
U1447,IMPLAUSIBLE DATA RECEIVED FROM SCM
U145D,IMPLAUSIBLE DATA RECEIVED FROM TCM ON D-PT
U147B,IMPLAUSIBLE DATA RECEIVED FROM BATTERY MONITOR MODULE
U1480,IMPLAUSIBLE DATA RECEIVED FROM INTEGRATED CENTER STACK
U148C,IMPLAUSIBLE DATA RECEIVED FROM STOP/START BUTTON
U148D,IMPLAUSIBLE DATA RECEIVED FROM FORWARD FACING CAMERA
U1504,IMPLAUSIBLE MESSAGE DATA LENGTH RECEIVED FROM STEERING ANGLE SENSOR
U1514,ENGINE CONTROLLER SECRET CODE
U1515,STEERING COLUMN LOCK SECRET CODE
U1516,RF HUB SECRET CODE
U1519,IMPLAUSABLE DATA RECIEVED FROM THE VIDEO ROUTING MODULE
U151A,HYBRID CONTROL PROCESSOR SECRET CODE
U1600,ECU APPLICATION SOFTWARE MISMATCH
U1601,ECU APPLICATION SOFTWARE CODE 1 MISSING OR CORRUPTED
U1817,LOST COMMUNICATION WITH HYBRID POWERTRAIN CONTROL MODULE ON D-PT
U1818,LOST COMMUNICATION WITH ECM PCM ON DPT CAN
U1820,LOST COMMUNICATION WITH ABS ON D-PT CAN
U1822,LOST COMMUNICATION WITH EBBM ON DPT CAN
U1850,IMPLAUSIBLE DATA RECEIVED FROM PCM ON D-PT
U1851,IMPLAUSIBLE DATA RECEIVED FROM EBBM ON D-PT
U1852,IMPLAUSIBLE DATA RECEIVED FROM ABS ON D-PT
U1853,IMPLAUSIBLE DATA RECEIVED FROM HYBRID POWERTRAIN CONTROL PROCESSOR ON D-PT
U3017,CONTROL MODULE TIMER/CLOCK PERFORMANCE
16,CIRCUIT VOLTAGE BELOW THRESHOLD
